name,series,family,mode,compiler,precision,precision_group,core,variant,lmul,mc,nc,nr,ku,kc,threads,x100_threads,a100_threads,a100_share,matrix_order,iterations,tile_size,status,mflops,avg_time_s,elapsed_s,instructions,l1_loads,l1_load_misses,command,file
gemm_clang_double_autovec_t8_n2000,baseline,base,autovec,clang,double,fp64,,autovec,,,,,,,8,,,,2000,10,16,valid,15694.939287,1.019437,11.245637940,286843725213,114301041220,997594517,./build/clang/double/gemm_autovec 8 10 2000 16,results/gemm_clang_double_autovec_t8_n2000.txt
gemm_clang_float_autovec_t8_n2000,baseline,base,autovec,clang,float,fp32,,autovec,,,,,,,8,,,,2000,10,16,valid,28517.342501,0.561062,6.255938744,213722456357,63522958622,1654755760,./build/clang/float/gemm_autovec 8 10 2000 16,results/gemm_clang_float_autovec_t8_n2000.txt
gemm_gcc_double_autovec_t8_n2000,baseline,base,autovec,gcc,double,fp64,,autovec,,,,,,,8,,,,2000,10,16,valid,7155.265449,2.236116,24.647246134,314829524479,304939027851,2912494958,./build/gcc/double/gemm_autovec 8 10 2000 16,results/gemm_gcc_double_autovec_t8_n2000.txt
gemm_gcc_float_autovec_t8_n2000,baseline,base,autovec,gcc,float,fp32,,autovec,,,,,,,8,,,,2000,10,16,valid,8907.743615,1.796190,19.801770116,310317647004,219666570475,2352741452,./build/gcc/float/gemm_autovec 8 10 2000 16,results/gemm_gcc_float_autovec_t8_n2000.txt
gemm_clang_double_autovec_1_t8_n2000,baseline,base,autovec_lmul,clang,double,fp64,,autovec_1,1,,,,,,8,,,,2000,10,16,valid,8882.366190,1.801322,19.856345064,470345403103,123547180884,3364230618,./build/clang/double/gemm_autovec_1 8 10 2000 16,results/gemm_clang_double_autovec_1_t8_n2000.txt
gemm_clang_double_autovec_2_t8_n2000,baseline,base,autovec_lmul,clang,double,fp64,,autovec_2,2,,,,,,8,,,,2000,10,16,valid,15655.087141,1.022032,11.314671949,285942883415,114216223996,999155568,./build/clang/double/gemm_autovec_2 8 10 2000 16,results/gemm_clang_double_autovec_2_t8_n2000.txt
gemm_clang_double_autovec_4_t8_n2000,baseline,base,autovec_lmul,clang,double,fp64,,autovec_4,4,,,,,,8,,,,2000,10,16,valid,20751.196121,0.771040,8.535383351,214660732844,110658075996,849921755,./build/clang/double/gemm_autovec_4 8 10 2000 16,results/gemm_clang_double_autovec_4_t8_n2000.txt
gemm_clang_double_autovec_8_t8_n2000,baseline,base,autovec_lmul,clang,double,fp64,,autovec_8,8,,,,,,8,,,,2000,10,16,valid,9742.327551,1.642318,18.102019879,219008658283,208691839246,703992635,./build/clang/double/gemm_autovec_8 8 10 2000 16,results/gemm_clang_double_autovec_8_t8_n2000.txt
gemm_clang_float_autovec_1_t8_n2000,baseline,base,autovec_lmul,clang,float,fp32,,autovec_1,1,,,,,,8,,,,2000,10,16,valid,16633.896270,0.961891,10.589468824,290926884921,67862556026,1607042175,./build/clang/float/gemm_autovec_1 8 10 2000 16,results/gemm_clang_float_autovec_1_t8_n2000.txt
gemm_clang_float_autovec_2_t8_n2000,baseline,base,autovec_lmul,clang,float,fp32,,autovec_2,2,,,,,,8,,,,2000,10,16,valid,28469.158462,0.562012,6.184042160,211722521123,62727459791,1654448315,./build/clang/float/gemm_autovec_2 8 10 2000 16,results/gemm_clang_float_autovec_2_t8_n2000.txt
gemm_clang_float_autovec_4_t8_n2000,baseline,base,autovec_lmul,clang,float,fp32,,autovec_4,4,,,,,,8,,,,2000,10,16,valid,16035.936782,0.997759,10.916651139,220125077347,114378085472,1111499380,./build/clang/float/gemm_autovec_4 8 10 2000 16,results/gemm_clang_float_autovec_4_t8_n2000.txt
gemm_clang_float_autovec_8_t8_n2000,baseline,base,autovec_lmul,clang,float,fp32,,autovec_8,8,,,,,,8,,,,2000,10,16,valid,9352.415967,1.710788,18.865541321,230156123109,214755052618,730921309,./build/clang/float/gemm_autovec_8 8 10 2000 16,results/gemm_clang_float_autovec_8_t8_n2000.txt
gemm_gcc_double_autovec_1_t8_n2000,baseline,base,autovec_lmul,gcc,double,fp64,,autovec_1,1,,,,,,8,,,,2000,10,16,valid,8940.212162,1.789667,19.747695095,507154733318,126227494255,3061380148,./build/gcc/double/gemm_autovec_1 8 10 2000 16,results/gemm_gcc_double_autovec_1_t8_n2000.txt
gemm_gcc_double_autovec_2_t8_n2000,baseline,base,autovec_lmul,gcc,double,fp64,,autovec_2,2,,,,,,8,,,,2000,10,16,valid,14897.842713,1.073981,11.884363658,371313586851,124778853781,3330846982,./build/gcc/double/gemm_autovec_2 8 10 2000 16,results/gemm_gcc_double_autovec_2_t8_n2000.txt
gemm_gcc_double_autovec_4_t8_n2000,baseline,base,autovec_lmul,gcc,double,fp64,,autovec_4,4,,,,,,8,,,,2000,10,16,valid,18115.441722,0.883224,9.806716278,309945875159,127250931607,3271441215,./build/gcc/double/gemm_autovec_4 8 10 2000 16,results/gemm_gcc_double_autovec_4_t8_n2000.txt
gemm_gcc_double_autovec_8_t8_n2000,baseline,base,autovec_lmul,gcc,double,fp64,,autovec_8,8,,,,,,8,,,,2000,10,16,valid,7121.574120,2.246694,24.734642973,306409165364,301512186411,2907693387,./build/gcc/double/gemm_autovec_8 8 10 2000 16,results/gemm_gcc_double_autovec_8_t8_n2000.txt
gemm_gcc_float_autovec_1_t8_n2000,baseline,base,autovec_lmul,gcc,float,fp32,,autovec_1,1,,,,,,8,,,,2000,10,16,valid,15970.839148,1.001826,11.077662150,370259019787,80461586719,2487576922,./build/gcc/float/gemm_autovec_1 8 10 2000 16,results/gemm_gcc_float_autovec_1_t8_n2000.txt
gemm_gcc_float_autovec_2_t8_n2000,baseline,base,autovec_lmul,gcc,float,fp32,,autovec_2,2,,,,,,8,,,,2000,10,16,valid,21424.504320,0.746808,8.234669517,296223185990,77608363057,2492205379,./build/gcc/float/gemm_autovec_2 8 10 2000 16,results/gemm_gcc_float_autovec_2_t8_n2000.txt
gemm_gcc_float_autovec_4_t8_n2000,baseline,base,autovec_lmul,gcc,float,fp32,,autovec_4,4,,,,,,8,,,,2000,10,16,valid,12249.071220,1.306221,14.406362928,312259631067,134434793575,2598391116,./build/gcc/float/gemm_autovec_4 8 10 2000 16,results/gemm_gcc_float_autovec_4_t8_n2000.txt
gemm_gcc_float_autovec_8_t8_n2000,baseline,base,autovec_lmul,gcc,float,fp32,,autovec_8,8,,,,,,8,,,,2000,10,16,valid,8678.016038,1.843739,20.229386452,317724352987,223102373337,2324439795,./build/gcc/float/gemm_autovec_8 8 10 2000 16,results/gemm_gcc_float_autovec_8_t8_n2000.txt
gemm_clang_double_nonvec_t8_n2000,baseline,base,nonvec,clang,double,fp64,,nonvec,,,,,,,8,,,,2000,10,16,valid,8055.658569,1.986181,21.904804783,965573317940,292497743456,3671949923,./build/clang/double/gemm_nonvec 8 10 2000 16,results/gemm_clang_double_nonvec_t8_n2000.txt
gemm_clang_float_nonvec_t8_n2000,baseline,base,nonvec,clang,float,fp32,,nonvec,,,,,,,8,,,,2000,10,16,valid,8439.597941,1.895825,20.840445294,969494632326,295645420853,2166321674,./build/clang/float/gemm_nonvec 8 10 2000 16,results/gemm_clang_float_nonvec_t8_n2000.txt
gemm_gcc_double_nonvec_t8_n2000,baseline,base,nonvec,gcc,double,fp64,,nonvec,,,,,,,8,,,,2000,10,16,valid,7710.720047,2.075033,22.869040265,976275649144,301796387472,3687400883,./build/gcc/double/gemm_nonvec 8 10 2000 16,results/gemm_gcc_double_nonvec_t8_n2000.txt
gemm_gcc_float_nonvec_t8_n2000,baseline,base,nonvec,gcc,float,fp32,,nonvec,,,,,,,8,,,,2000,10,16,valid,8000.566046,1.999858,22.055988262,968721230947,299332108585,2327479991,./build/gcc/float/gemm_nonvec 8 10 2000 16,results/gemm_gcc_float_nonvec_t8_n2000.txt
gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share0_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m1,1,,,,,,,8,8,0,2000,10,8,valid,9936.734608,1.610187,17.797840687,163546354343,49061004099,2167138968,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=0 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_1 10 2000 8,results/gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share0_n2000.txt
gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share100_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m1,1,,,,,,,8,8,100,2000,10,8,valid,9245.358499,1.730598,19.108257134,12710746677,14824478528,13586513275,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=100 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_1 10 2000 8,results/gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share100_n2000.txt
