name,series,family,mode,compiler,precision,precision_group,core,variant,lmul,mc,nc,nr,ku,kc,threads,x100_threads,a100_threads,a100_share,matrix_order,iterations,tile_size,status,mflops,avg_time_s,elapsed_s,instructions,l1_loads,l1_load_misses,command,file
gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share100_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m1,1,,,,,,,8,8,100,2000,10,8,valid,9245.358499,1.730598,19.108257134,12710746677,14824478528,13586513275,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=100 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_1 10 2000 8,results/gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share100_n2000.txt
gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share0_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m2,2,,,,,,,8,8,0,2000,10,8,valid,11802.224779,1.355677,14.945673112,84226604666,41765888455,2073220444,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=0 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_2 10 2000 8,results/gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share0_n2000.txt
gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share10_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m2,2,,,,,,,8,8,10,2000,10,8,valid,12220.152719,1.309313,14.464754997,79979387098,42588685181,3424588811,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=10 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_2 10 2000 8,results/gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share10_n2000.txt
gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share20_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m2,2,,,,,,,8,8,20,2000,10,8,valid,13660.087228,1.171296,12.878623225,71775276776,31401523066,4380752154,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=20 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_2 10 2000 8,results/gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share20_n2000.txt
gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share30_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m2,2,,,,,,,8,8,30,2000,10,8,valid,14772.123319,1.083121,11.946190648,62640876919,34773407808,6272238104,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=30 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_2 10 2000 8,results/gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share30_n2000.txt
gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share40_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m2,2,,,,,,,8,8,40,2000,10,8,valid,16129.664799,0.991961,10.980824097,58983391246,32246391106,7322319131,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=40 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_2 10 2000 8,results/gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share40_n2000.txt
gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share50_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m2,2,,,,,,,8,8,50,2000,10,8,valid,16336.269059,0.979416,10.895816282,50387871581,29600703589,8477348484,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=50 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_2 10 2000 8,results/gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share50_n2000.txt
gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share60_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m2,2,,,,,,,8,8,60,2000,10,8,valid,13936.130284,1.148095,12.727582324,46533496967,25624884367,9255839742,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=60 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_2 10 2000 8,results/gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share60_n2000.txt
gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share70_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m2,2,,,,,,,8,8,70,2000,10,8,valid,13458.059227,1.188879,13.331763032,37643900742,24466642656,10901518727,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=70 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_2 10 2000 8,results/gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share70_n2000.txt
gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share80_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m2,2,,,,,,,8,8,80,2000,10,8,valid,11844.969511,1.350784,15.069993396,33616717605,22548545531,12175026821,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=80 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_2 10 2000 8,results/gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share80_n2000.txt
